Date,Close,Open,High,Low,Volume,변동 %
2024-10-28,"69,954.10","68,011.90","70,203.40","67,610.00",103.97K,2.87%
2024-10-27,"68,004.60","67,084.70","68,308.00","66,924.60",33.58K,1.37%
2024-10-26,"67,086.80","66,694.50","67,408.40","66,443.80",42.05K,0.58%
2024-10-25,"66,696.80","68,191.90","68,756.80","65,644.20",110.51K,-2.19%
2024-10-24,"68,191.50","66,659.20","68,831.80","66,510.60",82.78K,2.29%
2024-10-23,"66,663.70","67,428.60","67,441.10","65,246.70",84.99K,-1.13%
2024-10-22,"67,427.30","67,370.80","67,815.30","66,609.40",86.76K,0.08%
2024-10-21,"67,371.30","69,030.50","69,490.80","66,845.50",109.28K,-2.40%
2024-10-20,"69,030.50","68,373.30","69,386.40","67,443.90",44.92K,0.96%
2024-10-19,"68,372.00","68,426.40","68,688.80","68,025.50",33.29K,-0.07%
2024-10-18,"68,423.10","67,416.50","68,990.30","67,190.90",99.20K,1.49%
2024-10-17,"67,418.40","67,618.10","67,933.50","66,677.30",84.68K,-0.30%
2024-10-16,"67,617.90","67,075.10","68,389.40","66,766.60",98.30K,0.81%
2024-10-15,"67,077.50","66,084.10","67,821.90","64,850.60",136.72K,1.51%
2024-10-14,"66,081.70","62,870.70","66,476.60","62,463.70",122.09K,5.11%
2024-10-13,"62,870.90","63,205.40","63,284.60","62,054.20",42.26K,-0.53%
2024-10-12,"63,205.10","62,506.60","63,463.10","62,486.10",40.91K,1.13%
2024-10-11,"62,499.40","60,317.50","63,385.10","60,080.60",86.38K,3.62%
2024-10-10,"60,316.20","60,628.90","61,304.60","59,075.70",83.86K,-0.52%
2024-10-09,"60,628.80","62,157.00","62,537.00","60,355.50",68.79K,-2.46%
2024-10-08,"62,157.00","62,226.90","63,196.60","61,883.20",63.75K,-0.14%
2024-10-07,"62,245.60","62,819.80","64,449.30","62,175.80",86.27K,-0.91%
2024-10-06,"62,819.40","62,062.00","62,934.50","61,495.40",31.72K,1.22%
2024-10-05,"62,061.40","62,085.50","62,366.80","61,705.70",30.15K,-0.03%
2024-10-04,"62,081.00","60,751.40","62,471.70","60,469.30",72.71K,2.19%
2024-10-03,"60,751.20","60,642.00","61,468.90","59,904.40",82.43K,0.17%
2024-10-02,"60,645.70","60,834.20","62,339.80","60,002.70",98.94K,-0.31%
2024-10-01,"60,835.50","63,329.90","64,125.30","60,195.90",134.93K,-3.95%
2024-09-30,"63,339.20","65,607.00","65,607.00","62,901.10",101.70K,-3.46%
2024-09-29,"65,607.10","65,862.80","66,065.70","65,436.80",32.60K,-0.39%
2024-09-28,"65,866.50","65,775.60","66,232.50","65,438.10",35.00K,0.14%
2024-09-27,"65,776.30","65,168.80","66,440.70","64,839.20",80.55K,0.92%
2024-09-26,"65,175.70","63,157.20","65,770.90","62,693.30",96.06K,3.20%
2024-09-25,"63,156.50","64,262.90","64,788.40","62,952.80",62.72K,-1.71%
2024-09-24,"64,256.80","63,335.90","64,664.10","62,740.80",76.71K,1.46%
2024-09-23,"63,331.80","63,575.40","64,723.40","62,650.00",75.66K,-0.38%
2024-09-22,"63,572.70","63,351.20","63,998.20","62,394.60",48.86K,0.35%
